element,opponent_team_name,total_points,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
8,Nott'm Forest,8,4,90,0,0,1,0,0,0,0,0,0,0,2,37,4,2,2,6,1,0.30,0.02,0.32,0.20
8,Man City,1,5,79,0,0,0,1,0,0,0,1,0,0,0,16,1,3,7,8,1,0.00,0.05,0.05,0.65
8,Newcastle,2,6,90,0,0,0,1,0,0,0,0,0,0,0,10,4,4,2,6,1,0.53,0.21,0.74,0.61
8,West Ham,11,7,90,0,1,1,0,0,0,0,0,0,0,2,43,3,3,6,9,1,0.16,0.03,0.19,0.49
8,Fulham,6,8,90,0,0,1,0,0,0,0,0,0,0,0,27,2,5,2,4,1,0.00,0.15,0.15,0.44
8,Crystal Palace,6,9,90,0,0,1,0,0,0,0,0,0,0,0,25,2,4,2,4,1,0.00,0.04,0.04,0.47
8,Burnley,6,10,90,0,0,1,0,0,0,0,0,0,0,0,20,2,3,2,4,1,0.19,0.01,0.20,0.42
8,Sunderland,1,11,90,0,0,0,2,0,0,0,0,0,0,0,7,1,3,3,4,1,0.00,0.03,0.03,0.44
8,Spurs,5,12,90,0,1,0,1,0,0,0,0,0,0,0,6,1,4,0,1,1,0.50,0.04,0.54,0.07
8,Chelsea,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
9,Man Utd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
9,Leeds,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
9,Liverpool,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
9,Nott'm Forest,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
